iso 3 code,country,world region
GRD,Grenada,Central America (incl. Mexico and Carribean)
GTM,Guatemala,Central America (incl. Mexico and Carribean)
GUF,French Guiana,South America
GUM,Guam,Oceania
GUY,Guyana,South America
HKG,Hong Kong,Central Asia (incl. Russia)
HND,Honduras,Central America (incl. Mexico and Carribean)
HRV,Croatia,Eastern Europe
HTI,Haiti,Central America (incl. Mexico and Carribean)
HUN,Hungary,Eastern Europe
IDN,Indonesia,South-East Asia
IND,India,South Asia
IRL,Ireland,Northern Europe
IRN,Iran,South Asia
IRQ,Iraq,Western Asia
ISL,Iceland,Northern Europe
ISR,Israel,Western Asia
ITA,Italy,Southern Europe
JAM,Jamaica,Central America (incl. Mexico and Carribean)
JOR,Jordan,Western Asia
JPN,Japan,Central Asia (incl. Russia)
KAZ,Kazakhstan,Central Asia (incl. Russia)
KEN,Kenya,Sub-Saharan Africa
KGZ,Kyrgyzstan,Central Asia (incl. Russia)
KHM,Cambodia,South-East Asia
KOR,South Korea,Central Asia (incl. Russia)
KWT,Kuwait,Western Asia
LAO,Laos,South-East Asia
LBN,Lebanon,Western Asia
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Northern Africa (excl. Sudan)
LCA,Saint Lucia,Central America (incl. Mexico and Carribean)
LKA,Sri Lanka,South Asia
LSO,Lesotho,Sub-Saharan Africa
LTU,Lithuania,Northern Europe
LUX,Luxembourg,Western Europe
LVA,Latvia,Northern Europe
MAC,Macao,Central Asia (incl. Russia)
MAR,Morocco,Northern Africa (excl. Sudan)
MDA,Moldova,Eastern Europe
MDG,Madagascar,Sub-Saharan Africa
MDV,Maldives,South Asia
MEX,Mexico,Central America (incl. Mexico and Carribean)
MKD,Macedonia,Eastern Europe
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Southern Europe
MMR,Myanmar,South-East Asia
MNE,Montenegro,Eastern Europe
MNG,Mongolia,Central Asia (incl. Russia)
MOZ,Mozambique,Sub-Saharan Africa
MRT,Mauritania,Sub-Saharan Africa
MTQ,Martinique,Central America (incl. Mexico and Carribean)
MUS,Mauritius,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,South-East Asia
MYT,Mayotte,Sub-Saharan Africa
NAM,Namibia,Sub-Saharan Africa
NCL,New Caledonia,Oceania
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
NIC,Nicaragua,Central America (incl. Mexico and Carribean)
NLD,Netherlands,Western Europe
NOR,Norway,Northern Europe
NPL,Nepal,South Asia
NZL,New Zealand,Oceania
OMN,Oman,Western Asia
PAK,Pakistan,South Asia
PAN,Panama,Central America (incl. Mexico and Carribean)
PER,Peru,South America
PHL,Philippines,South-East Asia
PNG,Papua New Guinea,Oceania
POL,Poland,Eastern Europe
PRI,Puerto Rico,Central America (incl. Mexico and Carribean)
PRK,North Korea,Central Asia (incl. Russia)
PRT,Portugal,Southern Europe
PRY,Paraguay,South America
PSE,Palestina,Western Asia
PYF,French Polynesia,Oceania
QAT,Qatar,Western Asia
REU,Reunion,Sub-Saharan Africa
ROU,Romania,Eastern Europe
RUS,Russia,Central Asia (incl. Russia)
RWA,Rwanda,Sub-Saharan Africa
SAU,Saudi Arabia,Western Asia
SDN,Sudan,Sub-Saharan Africa
SEN,Senegal,Sub-Saharan Africa
SGP,Singapore,South-East Asia
SLB,Solomon Islands,Oceania
SLE,Sierra Leone,Sub-Saharan Africa
SLV,El Salvador,Central America (incl. Mexico and Carribean)
SOM,Somalia,Sub-Saharan Africa
SRB,Serbia,Eastern Europe
SSD,South Sudan,Sub-Saharan Africa
STP,Sao Tome and Principe,Sub-Saharan Africa
SUR,Suriname,South America
SVK,Slovakia,Eastern Europe
SVN,Slovenia,Eastern Europe
SWE,Sweden,Northern Europe
SWZ,Swaziland,Sub-Saharan Africa
SYR,Syria,Western Asia
TCD,Chad,Sub-Saharan Africa
TGO,Togo,Sub-Saharan Africa
THA,Thailand,South-East Asia
TJK,Tajikistan,Central Asia (incl. Russia)
TKM,Turkmenistan,Central Asia (incl. Russia)
TLS,East Timor,South-East Asia
TON,Tonga,Oceania
TTO,Trinidad and Tobago,Central America (incl. Mexico and Carribean)
TUN,Tunisia,Northern Africa (excl. Sudan)
TUR,Turkey,Western Asia
TZA,Tanzania,Sub-Saharan Africa
UGA,Uganda,Sub-Saharan Africa
UKR,Ukraine,Eastern Europe
URY,Uruguay,South America
USA,United States,North America
UZB,Uzbekistan,Central Asia (incl. Russia)
VCT,Saint Vincent and the Grenadines,Central America (incl. Mexico and Carribean)
VEN,Venezuela,South America
VIR,Virgin Islands,Central America (incl. Mexico and Carribean)
VNM,Vietnam,South-East Asia
VUT,Vanuatu,Oceania
WSM,Samoa,Oceania
YEM,Yemen,Western Asia
ZAF,South Africa,Sub-Saharan Africa
ZMB,Zambia,Sub-Saharan Africa
ZWE,Zimbabwe,Sub-Saharan Africa
WLF,Wallis and Futuna,Oceania
